T,abs_m_mean,abs_m_se,n2_frac_hub
0.6,0.9996987798705262,4.620427152204944e-05,0.007586805555555555
0.7,0.9980320466622224,6.802821996375589e-05,0.016911458333333334
0.8,0.9920102061281215,0.0001405013367167141,0.03132638888888889
0.9,0.9717683457951443,0.0005766329943352626,0.05168576388888889
1.0,0.792583602932197,0.03524472073881512,0.08349479166666667
1.1,0.366214321643338,0.022405752961398753,0.12622569444444445
1.2,0.2019612956335221,0.007406781462645903,0.15187326388888886
1.3,0.1436340802302148,0.0036415033224870192,0.16789930555555557
1.4,0.11144288190595106,0.002107493436294745,0.1781267361111111
1.5,0.1000945590754098,0.002097981121337353,0.18604513888888888
1.7,0.08579811066362789,0.0011082115504015965,0.19557465277777777
2.0,0.07551541906216505,0.00119037283328073,0.205296875
