T,abs_m_mean,abs_m_se,n2_frac_hub
0.5,0.999090677337076,6.138318082781224e-05,0.09314930555555556
0.55,0.9973043077171365,0.00015211671281725267,0.11386979166666668
0.6,0.9925401781137735,0.0002776656630864478,0.13845659722222223
0.65,0.9804892056997196,0.0008134521964196571,0.16687847222222224
0.7,0.9147656270728334,0.020372540772232425,0.20714756944444446
0.75,0.7518753362228636,0.032595032912730845,0.2637291666666666
0.8,0.42806241694470015,0.026605085514070877,0.31777256944444443
0.85,0.31293324376135956,0.013550831653716743,0.3417309027777778
0.9,0.20871283057084292,0.008223628239634871,0.35264409722222223
0.95,0.1769373451456093,0.00536578906507849,0.35348611111111106
1.0,0.15915275262847567,0.0045120209602212994,0.35216145833333334
