T,abs_m_mean,abs_m_se,n2_frac_hub
0.2,1.0,0.0,0.0064756944444444445
0.4,0.9999781337401475,1.2181501930061115e-05,0.05882291666666667
0.6,0.9925769443261636,0.00035172396118622265,0.13856944444444444
0.8,0.4764276681738585,0.04024673803660212,0.31661458333333337
1.0,0.155831374505104,0.005286593177503851,0.35289930555555554
1.2,0.11395440310992183,0.0027656332880037853,0.33812152777777776
1.4,0.09376165075500037,0.0021727664290294942,0.32320138888888894
1.6,0.08282322175296496,0.001498509567485489,0.3135104166666666
1.8,0.07896278596774424,0.0013288064565377237,0.30688541666666663
2.0,0.07751469191453415,0.0013053162014721098,0.3028576388888889
2.5,0.0705620823477478,0.001277532251561497,0.29844444444444446
3.0,0.07003948850977618,0.0015796592744126304,0.2984131944444444
3.5,0.06815531011615185,0.0015057096486858932,0.2997986111111111
4.0,0.06540326088458541,0.0011685685932361436,0.30170138888888887
