# pair: hops=3  triangle-graph distance d_tri(A,B)=7
# loop  lower  E_inf  certified  sector
0 4 4 True (0, 0)
1 4 4 True (0, 0)
2 4 4 True (0, 0)
3 4 4 True (0, 0)
4 4 4 True (0, 0)
5 4 4 True (0, 0)
6 4 4 True (0, 0)
7 4 4 True (0, 0)
8 4 4 True (0, 0)
9 4 4 True (0, 0)
10 4 4 True (0, 0)
11 4 4 True (0, 0)
12 4 4 True (0, 0)
13 4 4 True (0, 0)
14 4 4 True (0, 0)
15 4 4 True (0, 0)
16 4 4 True (0, 0)
17 4 4 True (0, 0)
18 4 4 True (0, 0)
19 4 4 True (0, 0)
20 4 4 True (0, 0)
21 4 4 True (0, 0)
22 4 4 True (0, 0)
23 4 4 True (0, 0)
24 4 4 True (0, 0)
25 4 4 True (0, 0)
26 4 4 True (0, 0)
27 4 4 True (0, 0)
28 4 4 True (0, 0)
29 4 4 True (0, 0)
30 4 4 True (0, 0)
31 4 4 True (0, 0)
32 4 4 True (0, 0)
33 4 4 True (0, 0)
34 4 4 True (0, 0)
35 4 4 True (0, 0)
36 4 4 True (0, 0)
37 4 4 True (0, 0)
38 4 4 True (0, 0)
39 4 4 True (0, 0)
40 4 4 True (0, 0)
