/root/.local/lib/python3.11/site-packages/matplotlib/projections/__init__.py:63: UserWarning: Unable to import Axes3D. This may be due to multiple versions of Matplotlib being installed (e.g. as a system package and as a pip package). As a result, the 3D projection is not available.
  warnings.warn("Unable to import Axes3D. This may be due to multiple versions of "
# pair: hops=6  triangle-graph distance d_tri(A,B)=13
# loop  lower  E_inf  certified  sector
0 7 7 True (0, 0)
1 7 7 True (0, 0)
2 7 7 True (0, 0)
3 7 7 True (0, 0)
4 7 7 True (0, 0)
5 7 7 True (0, 0)
6 7 7 True (0, 0)
7 7 7 True (0, 0)
8 7 7 True (0, 0)
9 7 7 True (0, 0)
10 7 7 True (0, 0)
11 7 7 True (0, 0)
12 7 7 True (0, 0)
13 7 7 True (0, 0)
14 7 7 True (0, 0)
15 7 7 True (0, 0)
16 7 7 True (0, 0)
17 7 7 True (0, 0)
18 7 7 True (0, 0)
19 7 7 True (0, 0)
20 7 7 True (0, 0)
21 7 7 True (0, 0)
22 7 7 True (0, 0)
23 7 7 True (0, 0)
24 7 7 True (0, 0)
25 7 7 True (0, 0)
26 7 7 True (0, 0)
27 7 7 True (0, 0)
28 7 7 True (0, 0)
29 7 7 True (0, 0)
30 7 7 True (0, 0)
31 7 7 True (0, 0)
32 7 7 True (0, 0)
33 7 7 True (0, 0)
34 7 7 True (0, 0)
35 7 7 True (0, 0)
36 7 7 True (0, 0)
37 7 7 True (0, 0)
38 7 7 True (0, 0)
39 7 7 True (0, 0)
40 7 7 True (0, 0)
