# annealed L=16 N_site=768 N_tri=1536 N_bond=2304 D2=1.0 D3=10.0 mu=1.0 n_eq=2000 n_meas=10000 seed=7
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
1.0000 1.0000 0.581655 0.74626 0.112081 0.13028 0.000166 0.23269 0.441031 0.049015 0.001060 -0.04793
0.9545 1.0476 0.549576 0.80368 0.102141 0.11871 0.000097 0.21648 0.440935 0.048339 0.001195 -0.06107
0.9130 1.0952 0.512565 0.93027 0.091500 0.11212 0.000074 0.21877 0.441556 0.048492 0.001550 -0.13063
0.8750 1.1429 0.479125 0.98507 0.081851 0.10238 0.000043 0.21011 0.442239 0.048600 0.001586 -0.11257
0.8400 1.1905 0.439296 1.02440 0.070933 0.09927 0.000029 0.21310 0.442085 0.051264 0.002829 -0.05061
0.8077 1.2381 0.402823 1.31550 0.060514 0.10027 0.000017 0.23956 0.441687 0.054545 0.005196 -0.00350
0.7778 1.2857 0.370187 1.07968 0.051167 0.08114 0.000009 0.18695 0.441485 0.057315 0.007523 -0.00683
0.7500 1.3333 0.341903 1.08129 0.043053 0.07490 0.000005 0.17684 0.439702 0.062587 0.013529 0.12927
0.7241 1.3810 0.311718 0.98290 0.034297 0.06399 0.000004 0.15001 0.436570 0.072041 0.027059 0.18148
0.7000 1.4286 0.289641 0.74450 0.027451 0.05056 0.000001 0.11081 0.434240 0.078611 0.037478 0.32732
0.6774 1.4762 0.273873 0.62031 0.022585 0.04303 0.000001 0.08969 0.431435 0.085016 0.050754 0.38949
0.6562 1.5238 0.262150 0.52209 0.018787 0.03556 0.000001 0.07127 0.429415 0.089584 0.057547 0.39418
0.6364 1.5714 0.251406 0.46003 0.015594 0.02974 0.000001 0.05825 0.424993 0.100377 0.081516 0.41957
0.6176 1.6190 0.245589 0.39126 0.013408 0.02542 0.000000 0.04805 0.425007 0.098972 0.070601 0.38349
0.6000 1.6667 0.237349 0.35403 0.010994 0.02138 0.000000 0.03903 0.421016 0.108534 0.097398 0.42735
0.5833 1.7143 0.233140 0.32238 0.009509 0.01747 0.000000 0.03216 0.420261 0.109423 0.092675 0.41827
0.5676 1.7619 0.226860 0.31068 0.007857 0.01509 0.000000 0.02817 0.416042 0.119367 0.119512 0.43627
0.5526 1.8095 0.221826 0.27958 0.006740 0.01347 0.000000 0.02467 0.411825 0.129917 0.146852 0.46194
0.5385 1.8571 0.218563 0.25028 0.005577 0.01114 0.000000 0.01932 0.410744 0.131667 0.150874 0.45435
0.5250 1.9048 0.214968 0.22906 0.004819 0.00918 0.000000 0.01569 0.407338 0.139011 0.169171 0.46071
0.5122 1.9524 0.212866 0.22091 0.004016 0.00810 0.000000 0.01376 0.406837 0.139725 0.170165 0.45947
0.5000 2.0000 0.209837 0.22758 0.003470 0.00703 0.000000 0.01227 0.403490 0.148029 0.194389 0.46012
0.4884 2.0476 0.207005 0.20200 0.002877 0.00586 0.000000 0.00989 0.400568 0.154789 0.212346 0.46766
0.4773 2.0952 0.205026 0.19453 0.002475 0.00489 0.000000 0.00791 0.398550 0.159599 0.226302 0.46280
0.4667 2.1429 0.202709 0.17760 0.002104 0.00428 0.000000 0.00733 0.395640 0.166496 0.248147 0.47488
0.4565 2.1905 0.200215 0.17869 0.001827 0.00394 0.000000 0.00663 0.391992 0.175555 0.276660 0.47669
0.4468 2.2381 0.199474 0.16806 0.001511 0.00302 0.000000 0.00488 0.391947 0.174686 0.274257 0.47556
0.4375 2.2857 0.197931 0.17255 0.001362 0.00273 0.000000 0.00448 0.389591 0.180562 0.291607 0.47630
0.4286 2.3333 0.196644 0.16100 0.001131 0.00225 0.000000 0.00371 0.388096 0.184208 0.303362 0.47834
0.4200 2.3810 0.195183 0.16675 0.000927 0.00188 0.000000 0.00318 0.386012 0.189068 0.320067 0.47722
0.4118 2.4286 0.194477 0.16941 0.000850 0.00168 0.000000 0.00280 0.384963 0.191312 0.328545 0.47814
0.4038 2.4762 0.192832 0.17493 0.000744 0.00153 0.000000 0.00239 0.382185 0.198140 0.353276 0.47869
0.3962 2.5238 0.191163 0.15433 0.000669 0.00138 0.000000 0.00235 0.379285 0.206433 0.385020 0.48521
0.3889 2.5714 0.190979 0.15257 0.000493 0.00097 0.000000 0.00164 0.379627 0.204331 0.376074 0.48450
0.3818 2.6190 0.189325 0.17185 0.000470 0.00093 0.000000 0.00162 0.376443 0.212967 0.405656 0.48026
0.3750 2.6667 0.187873 0.13051 0.000411 0.00080 0.000000 0.00121 0.373902 0.220323 0.438090 0.48840
0.3684 2.7143 0.187161 0.14258 0.000374 0.00075 0.000000 0.00110 0.372620 0.223240 0.450296 0.48793
0.3621 2.7619 0.186105 0.13433 0.000279 0.00057 0.000000 0.00096 0.370901 0.227929 0.469211 0.48972
0.3559 2.8095 0.184963 0.13421 0.000250 0.00050 0.000000 0.00073 0.368755 0.233692 0.493372 0.48979
0.3500 2.8571 0.183935 0.12225 0.000229 0.00046 0.000000 0.00070 0.366812 0.238947 0.515482 0.49154
