# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D3=10.0 mu=0.0 n_eq=1000 n_meas=8000 seed=5
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri
300.0000 0.0033 2.027375 0.00012 0.399066 0.31962 0.325684 0.02582
95.8333 0.0104 1.953152 0.00115 0.398495 0.31953 0.310996 0.05208
57.0248 0.0175 1.877667 0.00306 0.398498 0.33267 0.296024 0.03051
40.5882 0.0246 1.811684 0.00573 0.398023 0.32303 0.282739 0.03416
31.5068 0.0317 1.747320 0.00883 0.397978 0.31988 0.269721 0.07225
25.7463 0.0388 1.686034 0.01253 0.396975 0.31233 0.257259 0.07593
21.7666 0.0459 1.627248 0.01647 0.397271 0.32554 0.245141 0.02240
18.8525 0.0530 1.571328 0.02128 0.396966 0.31700 0.233582 0.06105
16.6265 0.0601 1.522364 0.02557 0.396221 0.32362 0.223360 0.05345
14.8707 0.0672 1.472114 0.02938 0.395607 0.32033 0.212738 0.07576
13.4503 0.0743 1.426471 0.03624 0.395154 0.32690 0.203116 0.08187
12.2776 0.0814 1.381782 0.03872 0.394219 0.30982 0.193659 0.03778
11.2930 0.0886 1.338946 0.04428 0.394112 0.31600 0.184473 0.07645
10.4545 0.0957 1.300424 0.04931 0.393750 0.32729 0.176263 0.06543
9.7320 0.1028 1.263851 0.05644 0.393655 0.31401 0.168383 0.05988
9.1029 0.1099 1.228640 0.06060 0.393374 0.31988 0.160712 0.06585
8.5502 0.1170 1.192245 0.06374 0.392638 0.31122 0.152810 0.06318
8.0607 0.1241 1.159209 0.06749 0.392024 0.32575 0.145654 0.06222
7.6243 0.1312 1.127330 0.07410 0.391520 0.30771 0.138674 0.05966
7.2327 0.1383 1.098477 0.07687 0.391064 0.31977 0.132387 0.06569
6.8794 0.1454 1.072215 0.08096 0.390942 0.31779 0.126611 0.07503
6.5589 0.1525 1.044253 0.08740 0.389938 0.32495 0.120481 0.07863
6.2670 0.1596 1.017485 0.08948 0.389411 0.31015 0.114587 0.08681
6.0000 0.1667 0.994358 0.09015 0.388733 0.31705 0.109465 0.09684
