# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D2=0.5 D3=10.0 mu=0.0 n_eq=1000 n_meas=8000 seed=5
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
300.0000 0.0033 2.113217 0.00012 0.399396 0.31106 0.326057 0.08512 0.336419 0.178106
95.8333 0.0104 2.039207 0.00107 0.398613 0.31493 0.311122 0.05960 0.343518 0.177256
57.0248 0.0175 1.972412 0.00297 0.398654 0.31497 0.297480 0.03145 0.349465 0.177191
40.5882 0.0246 1.906638 0.00543 0.397936 0.32208 0.284101 0.07962 0.355759 0.176804
31.5068 0.0317 1.844629 0.00874 0.397627 0.32480 0.271175 0.05110 0.361472 0.176733
25.7463 0.0388 1.787618 0.01223 0.397580 0.31923 0.259330 0.04433 0.367132 0.176640
21.7666 0.0459 1.732873 0.01585 0.397084 0.32341 0.247754 0.07748 0.372264 0.176500
18.8525 0.0530 1.679739 0.02008 0.396965 0.31642 0.236497 0.04875 0.377157 0.176352
16.6265 0.0601 1.626879 0.02398 0.396144 0.31578 0.225292 0.08287 0.381556 0.175411
14.8707 0.0672 1.583090 0.02971 0.395988 0.32211 0.215850 0.06164 0.386242 0.175396
13.4503 0.0743 1.537466 0.03406 0.395057 0.32026 0.206029 0.04880 0.390470 0.174861
12.2776 0.0814 1.493614 0.03850 0.395028 0.32549 0.196626 0.07502 0.394241 0.174795
11.2930 0.0886 1.454911 0.04336 0.394907 0.31859 0.188047 0.04260 0.398459 0.174779
10.4545 0.0957 1.414624 0.04838 0.393914 0.31798 0.179356 0.07043 0.402014 0.173916
9.7320 0.1028 1.378493 0.05318 0.393668 0.31728 0.171315 0.06564 0.405515 0.174121
9.1029 0.1099 1.344192 0.05821 0.392937 0.32504 0.163723 0.07408 0.408538 0.173251
8.5502 0.1170 1.312181 0.06002 0.392866 0.32243 0.156608 0.05702 0.411939 0.173284
8.0607 0.1241 1.277640 0.06817 0.391687 0.32434 0.148984 0.06406 0.415666 0.172497
7.6243 0.1312 1.249184 0.07258 0.391641 0.31662 0.142637 0.07914 0.417277 0.172557
7.2327 0.1383 1.221353 0.07668 0.391096 0.31619 0.136368 0.07213 0.420561 0.171690
6.8794 0.1454 1.193378 0.07993 0.390438 0.31459 0.130131 0.05704 0.423022 0.171166
6.5589 0.1525 1.165973 0.08162 0.390090 0.31970 0.124054 0.07335 0.425191 0.171109
6.2670 0.1596 1.142932 0.08900 0.389569 0.31818 0.118825 0.08798 0.427682 0.170673
6.0000 0.1667 1.117615 0.08872 0.389045 0.31477 0.113142 0.05869 0.430391 0.170422
