# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D2=1.0 D3=10.0 mu=0.0 n_eq=1000 n_meas=8000 seed=5
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
300.0000 0.0033 2.198626 0.00011 0.398975 0.32277 0.326337 0.06531 0.335822 0.177973
95.8333 0.0104 2.128599 0.00106 0.399201 0.32069 0.311824 0.05793 0.342468 0.177812
57.0248 0.0175 2.062126 0.00283 0.398673 0.31822 0.298168 0.02929 0.347974 0.177371
40.5882 0.0246 1.999805 0.00520 0.398255 0.31752 0.285167 0.03868 0.353045 0.177359
31.5068 0.0317 1.940994 0.00845 0.397863 0.32473 0.272800 0.02309 0.358076 0.176809
25.7463 0.0388 1.882637 0.01187 0.397716 0.32272 0.260288 0.05493 0.363663 0.177040
21.7666 0.0459 1.829535 0.01579 0.396812 0.31893 0.249094 0.07169 0.367139 0.176306
18.8525 0.0530 1.781758 0.01977 0.396523 0.32097 0.238789 0.05428 0.371330 0.176021
16.6265 0.0601 1.731112 0.02463 0.396124 0.32144 0.227756 0.05477 0.375897 0.175734
14.8707 0.0672 1.686916 0.02747 0.395605 0.31912 0.218257 0.07237 0.379016 0.175644
13.4503 0.0743 1.645440 0.03311 0.395499 0.32284 0.209083 0.03467 0.382838 0.175139
12.2776 0.0814 1.600393 0.03771 0.395033 0.32109 0.199196 0.06031 0.386416 0.174603
11.2930 0.0886 1.562898 0.04224 0.394546 0.32167 0.191000 0.03751 0.388518 0.174558
10.4545 0.0957 1.525156 0.04764 0.393657 0.32022 0.182399 0.05708 0.392455 0.173715
9.7320 0.1028 1.490421 0.05012 0.393209 0.31589 0.174789 0.05015 0.395424 0.173330
9.1029 0.1099 1.455711 0.05400 0.393558 0.31192 0.166946 0.08085 0.397702 0.173334
8.5502 0.1170 1.422834 0.06186 0.392843 0.31327 0.159552 0.05711 0.400356 0.173226
8.0607 0.1241 1.393374 0.06407 0.392291 0.31598 0.152923 0.06935 0.402647 0.172720
7.6243 0.1312 1.364508 0.06985 0.391328 0.32257 0.146400 0.05800 0.405317 0.172161
7.2327 0.1383 1.333800 0.07363 0.391195 0.31002 0.139389 0.06100 0.407885 0.172101
6.8794 0.1454 1.307613 0.07700 0.390367 0.30946 0.133564 0.07146 0.409109 0.171348
6.5589 0.1525 1.282094 0.08093 0.389824 0.31860 0.127760 0.07882 0.410664 0.171362
6.2670 0.1596 1.259285 0.08651 0.389824 0.31829 0.122447 0.05252 0.412888 0.171334
6.0000 0.1667 1.234659 0.08914 0.388982 0.31077 0.116953 0.07189 0.414049 0.170436
