# matchings L=16 N_tri=1536 N_bond=2304 sweeps=20000 seed=1
# z  <n_dimer>/N_tri  monomer_frac
0.0050 0.007300 0.985401
0.0156 0.021697 0.956606
0.0261 0.034737 0.930525
0.0367 0.046610 0.906780
0.0472 0.057684 0.884632
0.0578 0.067874 0.864252
0.0683 0.077143 0.845715
0.0789 0.085977 0.828046
0.0894 0.094286 0.811427
0.1000 0.102038 0.795923
0.1200 0.115377 0.769247
0.1400 0.127351 0.745298
0.1600 0.138469 0.723063
0.1800 0.148190 0.703621
0.2000 0.157384 0.685231
0.2200 0.165822 0.668355
0.2400 0.173576 0.652849
0.2600 0.180812 0.638376
0.2800 0.187618 0.624763
0.3000 0.193784 0.612432
0.3200 0.199646 0.600709
0.3400 0.205238 0.589524
0.3600 0.210606 0.578788
0.3800 0.215511 0.568978
0.4000 0.220229 0.559541
0.4200 0.224747 0.550507
0.4400 0.228913 0.542174
0.4600 0.233092 0.533816
0.4800 0.236851 0.526297
0.5000 0.240553 0.518895
0.5200 0.244258 0.511484
0.5400 0.247621 0.504757
0.5600 0.250791 0.498417
0.5800 0.253849 0.492302
0.6000 0.256831 0.486339
0.6200 0.259850 0.480300
0.6400 0.262584 0.474832
0.6600 0.265408 0.469185
0.6800 0.267895 0.464210
0.7000 0.270370 0.459260
0.7200 0.272831 0.454339
0.7400 0.275175 0.449651
0.7600 0.277504 0.444992
0.7800 0.279669 0.440663
0.8000 0.281866 0.436267
0.8200 0.284037 0.431927
0.8400 0.285936 0.428129
0.8600 0.287861 0.424278
0.8800 0.289765 0.420470
0.9000 0.291715 0.416570
0.9200 0.293474 0.413052
0.9400 0.295200 0.409600
0.9600 0.296967 0.406067
0.9800 0.298569 0.402861
1.0000 0.300320 0.399360
# lnM/N_tri = 0.581811
