# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D2=1.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 1.235096 0.09193 0.389134 0.31892 0.116959 0.08003 0.414465 0.170500
2.6629 0.3755 0.839483 0.14292 0.372340 0.31136 0.029276 0.08739 0.439594 0.159190
1.7112 0.5844 0.702114 0.14680 0.354202 0.30269 0.006455 0.08854 0.442303 0.147200
1.2606 0.7932 0.631883 0.18269 0.334703 0.29108 0.001302 0.09839 0.440856 0.135908
0.9979 1.0021 0.575180 0.27055 0.311766 0.28945 0.000239 0.12354 0.439373 0.124757
0.8258 1.2110 0.518574 0.40026 0.283998 0.27855 0.000044 0.14442 0.438273 0.114439
0.7043 1.4198 0.459202 0.58502 0.250920 0.27681 0.000006 0.17253 0.436383 0.107044
0.6140 1.6287 0.396732 0.77739 0.212611 0.27022 0.000002 0.18766 0.430389 0.108973
0.5442 1.8376 0.336148 0.81576 0.171890 0.25738 0.000000 0.17947 0.416953 0.130253
0.4887 2.0464 0.295868 0.69192 0.139232 0.22121 0.000000 0.14443 0.403689 0.154666
0.4434 2.2553 0.265404 0.58876 0.111800 0.19088 0.000000 0.11590 0.390233 0.183718
0.4058 2.4641 0.245041 0.52882 0.090263 0.15819 0.000000 0.09310 0.381605 0.203016
0.3741 2.6730 0.228279 0.48309 0.072431 0.13091 0.000000 0.07474 0.372777 0.224442
0.3470 2.8819 0.217035 0.45693 0.058662 0.10461 0.000000 0.05934 0.368047 0.235671
0.3235 3.0907 0.206585 0.38959 0.047432 0.08931 0.000000 0.04763 0.361037 0.254602
0.3031 3.2996 0.198773 0.36601 0.038114 0.07299 0.000000 0.03925 0.356395 0.266973
0.2850 3.5084 0.192373 0.32627 0.030924 0.05906 0.000000 0.03154 0.351890 0.279802
0.2690 3.7173 0.187697 0.29330 0.024972 0.04716 0.000000 0.02469 0.349131 0.287146
0.2547 3.9262 0.183518 0.26596 0.020174 0.03955 0.000000 0.02059 0.346040 0.296019
0.2418 4.1350 0.180194 0.23790 0.016245 0.03249 0.000000 0.01684 0.343600 0.303087
0.2302 4.3439 0.177521 0.20238 0.013109 0.02558 0.000000 0.01308 0.341609 0.308973
0.2196 4.5527 0.175480 0.18723 0.010589 0.02112 0.000000 0.01079 0.340147 0.313227
0.2100 4.7616 0.173809 0.16212 0.008591 0.01682 0.000000 0.00856 0.338870 0.316925
0.2012 4.9705 0.172398 0.14181 0.006952 0.01403 0.000000 0.00706 0.337744 0.320222
0.1931 5.1793 0.171371 0.12160 0.005617 0.01114 0.000000 0.00557 0.337058 0.322244
0.1856 5.3882 0.170413 0.10828 0.004587 0.00923 0.000000 0.00461 0.336196 0.324787
0.1787 5.5970 0.169741 0.09468 0.003734 0.00752 0.000000 0.00377 0.335721 0.326218
0.1722 5.8059 0.169196 0.08490 0.003017 0.00619 0.000000 0.00309 0.335356 0.327286
0.1663 6.0148 0.168744 0.07568 0.002521 0.00496 0.000000 0.00249 0.334955 0.328485
0.1607 6.2236 0.168309 0.06257 0.001970 0.00395 0.000000 0.00196 0.334642 0.329422
0.1555 6.4325 0.168004 0.05457 0.001652 0.00329 0.000000 0.00163 0.334352 0.330286
0.1506 6.6414 0.167726 0.04478 0.001337 0.00258 0.000000 0.00127 0.334112 0.331004
0.1460 6.8502 0.167543 0.04150 0.001069 0.00213 0.000000 0.00107 0.334014 0.331294
0.1417 7.0591 0.167376 0.03640 0.000840 0.00170 0.000000 0.00085 0.333910 0.331604
0.1376 7.2679 0.167248 0.03111 0.000705 0.00137 0.000000 0.00069 0.333789 0.331966
0.1337 7.4768 0.167133 0.02619 0.000545 0.00108 0.000000 0.00054 0.333720 0.332175
0.1301 7.6857 0.167056 0.02360 0.000475 0.00096 0.000000 0.00049 0.333637 0.332422
0.1267 7.8945 0.166982 0.01923 0.000375 0.00074 0.000000 0.00037 0.333588 0.332569
0.1234 8.1034 0.166914 0.01617 0.000295 0.00059 0.000000 0.00029 0.333532 0.332738
0.1203 8.3122 0.166865 0.01408 0.000251 0.00052 0.000000 0.00026 0.333479 0.332896
0.1174 8.5211 0.166825 0.01156 0.000200 0.00040 0.000000 0.00020 0.333450 0.332982
0.1145 8.7300 0.166803 0.01034 0.000174 0.00035 0.000000 0.00017 0.333431 0.333039
0.1119 8.9388 0.166779 0.00876 0.000129 0.00026 0.000000 0.00013 0.333429 0.333047
0.1093 9.1477 0.166774 0.00922 0.000105 0.00021 0.000000 0.00011 0.333444 0.333001
0.1069 9.3565 0.166737 0.00606 0.000085 0.00017 0.000000 0.00008 0.333388 0.333169
0.1045 9.5654 0.166728 0.00562 0.000071 0.00014 0.000000 0.00007 0.333386 0.333176
0.1023 9.7743 0.166707 0.00381 0.000051 0.00010 0.000000 0.00005 0.333363 0.333243
0.1002 9.9831 0.166704 0.00360 0.000049 0.00010 0.000000 0.00005 0.333358 0.333260
0.0981 10.1920 0.166694 0.00279 0.000030 0.00006 0.000000 0.00003 0.333357 0.333262
0.0961 10.4008 0.166694 0.00297 0.000028 0.00006 0.000000 0.00003 0.333361 0.333251
0.0943 10.6097 0.166682 0.00172 0.000023 0.00005 0.000000 0.00002 0.333340 0.333313
0.0924 10.8186 0.166680 0.00158 0.000017 0.00003 0.000000 0.00002 0.333343 0.333303
0.0907 11.0274 0.166683 0.00192 0.000017 0.00003 0.000000 0.00002 0.333348 0.333289
0.0890 11.2363 0.166675 0.00111 0.000013 0.00003 0.000000 0.00001 0.333337 0.333321
0.0874 11.4451 0.166677 0.00138 0.000016 0.00003 0.000000 0.00002 0.333339 0.333317
0.0858 11.6540 0.166672 0.00069 0.000008 0.00002 0.000000 0.00001 0.333335 0.333328
0.0843 11.8629 0.166671 0.00061 0.000006 0.00001 0.000000 0.00001 0.333336 0.333324
0.0828 12.0717 0.166670 0.00050 0.000004 0.00001 0.000000 0.00000 0.333336 0.333325
0.0814 12.2806 0.166669 0.00039 0.000005 0.00001 0.000000 0.00001 0.333333 0.333333
0.0801 12.4895 0.166671 0.00061 0.000005 0.00001 0.000000 0.00000 0.333336 0.333325
0.0788 12.6983 0.166668 0.00025 0.000002 0.00000 0.000000 0.00000 0.333334 0.333331
0.0775 12.9072 0.166670 0.00062 0.000002 0.00000 0.000000 0.00000 0.333339 0.333317
0.0762 13.1160 0.166667 0.00009 0.000000 0.00000 0.000000 0.00000 0.333334 0.333331
0.0750 13.3249 0.166669 0.00034 0.000001 0.00000 0.000000 0.00000 0.333336 0.333325
0.0739 13.5338 0.166668 0.00023 0.000002 0.00000 0.000000 0.00000 0.333334 0.333332
0.0728 13.7426 0.166667 0.00010 0.000001 0.00000 0.000000 0.00000 0.333333 0.333333
0.0717 13.9515 0.166667 0.00003 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0706 14.1603 0.166667 0.00003 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0696 14.3692 0.166667 0.00008 0.000001 0.00000 0.000000 0.00000 0.333333 0.333333
0.0686 14.5781 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0676 14.7869 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0667 14.9958 0.166667 0.00009 0.000000 0.00000 0.000000 0.00000 0.333334 0.333332
0.0658 15.2046 0.166667 0.00003 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0649 15.4135 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0640 15.6224 0.166667 0.00004 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0632 15.8312 0.166667 0.00001 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0623 16.0401 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0615 16.2489 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0608 16.4578 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
0.0600 16.6667 0.166667 0.00000 0.000000 0.00000 0.000000 0.00000 0.333333 0.333333
