# annealed L=16 N_site=768 N_tri=1536 N_bond=2304 D2=0.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=2
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 0.993545 0.09420 0.388871 0.31749 0.109307 0.07576 0.445124 0.170418
2.6629 0.3755 0.595177 0.13531 0.372447 0.30583 0.024740 0.07958 0.487813 0.159191
1.7112 0.5844 0.464826 0.13721 0.354629 0.30562 0.004852 0.09161 0.497561 0.147368
1.2606 0.7932 0.397600 0.17565 0.335052 0.29424 0.000883 0.10468 0.499595 0.135644
0.9979 1.0021 0.341231 0.27011 0.311506 0.28915 0.000140 0.12693 0.499949 0.123065
0.8258 1.2110 0.285362 0.39331 0.283075 0.28055 0.000020 0.14873 0.500114 0.109829
0.7043 1.4198 0.230360 0.52032 0.250083 0.28231 0.000002 0.17157 0.500113 0.096962
0.6140 1.6287 0.178221 0.60213 0.213092 0.26430 0.000000 0.17346 0.499969 0.084720
0.5442 1.8376 0.133833 0.62928 0.176219 0.24897 0.000000 0.16698 0.499885 0.074366
0.4887 2.0464 0.099479 0.56817 0.142900 0.21786 0.000000 0.14131 0.500040 0.066811
0.4434 2.2553 0.073891 0.51952 0.114427 0.19451 0.000000 0.12251 0.500079 0.060271
0.4058 2.4641 0.056123 0.42669 0.091818 0.15968 0.000000 0.09491 0.500010 0.054832
0.3741 2.6730 0.042569 0.36626 0.073198 0.13274 0.000000 0.07613 0.499900 0.051104
0.3470 2.8819 0.033203 0.33229 0.058735 0.11150 0.000000 0.06267 0.500004 0.047428
0.3235 3.0907 0.025986 0.27816 0.047185 0.08823 0.000000 0.04814 0.499822 0.044602
0.3031 3.2996 0.020607 0.25022 0.038107 0.07261 0.000000 0.03919 0.500048 0.042168
0.2850 3.5084 0.016339 0.21861 0.030739 0.05907 0.000000 0.03140 0.499782 0.040474
0.2690 3.7173 0.012984 0.18745 0.024734 0.04733 0.000000 0.02471 0.500154 0.039325
0.2547 3.9262 0.010477 0.16661 0.020128 0.03846 0.000000 0.01996 0.499958 0.038198
0.2418 4.1350 0.008416 0.15343 0.016298 0.03241 0.000000 0.01678 0.500066 0.037314
0.2302 4.3439 0.006711 0.12960 0.013075 0.02524 0.000000 0.01299 0.500053 0.036541
0.2196 4.5527 0.005414 0.11366 0.010602 0.02060 0.000000 0.01052 0.499621 0.036141
0.2100 4.7616 0.004400 0.10170 0.008650 0.01697 0.000000 0.00865 0.500115 0.035575
0.2012 4.9705 0.003513 0.08930 0.006933 0.01391 0.000000 0.00704 0.500038 0.035020
0.1931 5.1793 0.002846 0.07668 0.005634 0.01111 0.000000 0.00561 0.499957 0.034899
0.1856 5.3882 0.002303 0.06815 0.004569 0.00915 0.000000 0.00462 0.499882 0.034572
0.1787 5.5970 0.001880 0.05826 0.003730 0.00726 0.000000 0.00366 0.499926 0.034451
0.1722 5.8059 0.001529 0.05236 0.003040 0.00611 0.000000 0.00307 0.499920 0.034266
0.1663 6.0148 0.001224 0.04536 0.002436 0.00493 0.000000 0.00248 0.500228 0.034049
0.1607 6.2236 0.000987 0.03851 0.001966 0.00392 0.000000 0.00197 0.499802 0.033841
0.1555 6.4325 0.000812 0.03378 0.001618 0.00322 0.000000 0.00162 0.499926 0.033873
0.1506 6.6414 0.000664 0.02879 0.001325 0.00259 0.000000 0.00130 0.499988 0.033830
0.1460 6.8502 0.000533 0.02551 0.001063 0.00216 0.000000 0.00108 0.499863 0.033755
0.1417 7.0591 0.000434 0.02186 0.000867 0.00175 0.000000 0.00087 0.500071 0.033761
0.1376 7.2679 0.000354 0.01888 0.000707 0.00142 0.000000 0.00071 0.500149 0.033866
0.1337 7.4768 0.000285 0.01609 0.000571 0.00115 0.000000 0.00058 0.499947 0.033904
0.1301 7.6857 0.000237 0.01411 0.000473 0.00095 0.000000 0.00048 0.499790 0.033708
0.1267 7.8945 0.000186 0.01164 0.000371 0.00075 0.000000 0.00037 0.499788 0.033673
0.1234 8.1034 0.000160 0.01051 0.000319 0.00064 0.000000 0.00032 0.499952 0.033621
0.1203 8.3122 0.000120 0.00837 0.000241 0.00048 0.000000 0.00024 0.500247 0.033221
0.1174 8.5211 0.000097 0.00674 0.000194 0.00037 0.000000 0.00019 0.499997 0.033644
0.1145 8.7300 0.000083 0.00622 0.000166 0.00033 0.000000 0.00016 0.499906 0.033396
0.1119 8.9388 0.000072 0.00576 0.000145 0.00029 0.000000 0.00014 0.500088 0.033659
0.1093 9.1477 0.000054 0.00448 0.000109 0.00021 0.000000 0.00011 0.499925 0.033492
0.1069 9.3565 0.000045 0.00386 0.000090 0.00018 0.000000 0.00009 0.499688 0.033687
0.1045 9.5654 0.000035 0.00313 0.000069 0.00014 0.000000 0.00007 0.500294 0.033805
0.1023 9.7743 0.000032 0.00299 0.000065 0.00013 0.000000 0.00006 0.499978 0.033638
0.1002 9.9831 0.000022 0.00217 0.000043 0.00009 0.000000 0.00004 0.500035 0.033488
0.0981 10.1920 0.000019 0.00194 0.000037 0.00007 0.000000 0.00004 0.499939 0.033658
0.0961 10.4008 0.000017 0.00186 0.000035 0.00007 0.000000 0.00003 0.499649 0.033587
0.0943 10.6097 0.000013 0.00149 0.000026 0.00005 0.000000 0.00003 0.500071 0.033591
0.0924 10.8186 0.000012 0.00142 0.000024 0.00005 0.000000 0.00002 0.500183 0.033844
0.0907 11.0274 0.000007 0.00084 0.000014 0.00003 0.000000 0.00001 0.500089 0.033577
0.0890 11.2363 0.000008 0.00096 0.000015 0.00003 0.000000 0.00002 0.499835 0.033838
0.0874 11.4451 0.000004 0.00054 0.000008 0.00002 0.000000 0.00001 0.500107 0.033330
0.0858 11.6540 0.000004 0.00058 0.000009 0.00002 0.000000 0.00001 0.500259 0.033327
0.0843 11.8629 0.000004 0.00057 0.000008 0.00002 0.000000 0.00001 0.500067 0.033300
0.0828 12.0717 0.000001 0.00021 0.000003 0.00001 0.000000 0.00000 0.499772 0.033857
0.0814 12.2806 0.000002 0.00032 0.000004 0.00001 0.000000 0.00000 0.499955 0.033497
0.0801 12.4895 0.000002 0.00028 0.000004 0.00001 0.000000 0.00000 0.500025 0.033200
0.0788 12.6983 0.000002 0.00026 0.000003 0.00001 0.000000 0.00000 0.500144 0.033482
0.0775 12.9072 0.000002 0.00030 0.000004 0.00001 0.000000 0.00000 0.500016 0.033538
0.0762 13.1160 0.000000 0.00008 0.000001 0.00000 0.000000 0.00000 0.500155 0.033740
0.0750 13.3249 0.000001 0.00009 0.000001 0.00000 0.000000 0.00000 0.500246 0.033666
0.0739 13.5338 0.000000 0.00009 0.000001 0.00000 0.000000 0.00000 0.500106 0.033467
0.0728 13.7426 0.000001 0.00016 0.000002 0.00000 0.000000 0.00000 0.500047 0.033391
0.0717 13.9515 0.000000 0.00006 0.000001 0.00000 0.000000 0.00000 0.500194 0.033532
0.0706 14.1603 0.000001 0.00016 0.000002 0.00000 0.000000 0.00000 0.500051 0.033372
0.0696 14.3692 0.000001 0.00011 0.000001 0.00000 0.000000 0.00000 0.499840 0.033561
0.0686 14.5781 0.000000 0.00007 0.000001 0.00000 0.000000 0.00000 0.500075 0.033374
0.0676 14.7869 0.000000 0.00005 0.000000 0.00000 0.000000 0.00000 0.500107 0.033635
0.0667 14.9958 0.000000 0.00000 0.000000 0.00000 0.000000 0.00000 0.500216 0.033451
0.0658 15.2046 0.000000 0.00005 0.000000 0.00000 0.000000 0.00000 0.499989 0.033588
