# annealed L=8 N_site=192 N_tri=384 N_bond=576 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri
6.0000 0.1667 0.993856 0.09282 0.388867 0.31460 0.109418 0.06350
4.0286 0.2482 0.779509 0.12696 0.382353 0.31477 0.062576 0.07760
3.0323 0.3298 0.646022 0.13535 0.376378 0.30960 0.034611 0.08106
2.4310 0.4113 0.562855 0.13925 0.369272 0.30657 0.018890 0.08267
2.0288 0.4929 0.508074 0.13440 0.362089 0.30349 0.010210 0.08577
1.7407 0.5745 0.467998 0.13514 0.355221 0.30121 0.005239 0.08709
1.5243 0.6560 0.439123 0.14225 0.348359 0.29621 0.002690 0.09189
1.3558 0.7376 0.412870 0.16096 0.340387 0.29278 0.001421 0.09649
1.2208 0.8191 0.390395 0.18501 0.332636 0.29681 0.000690 0.10639
1.1102 0.9007 0.368197 0.21184 0.323749 0.28981 0.000360 0.10882
1.0181 0.9823 0.347337 0.25137 0.314120 0.28764 0.000154 0.12000
0.9400 1.0638 0.325244 0.30807 0.303806 0.28143 0.000092 0.12798
0.8731 1.1454 0.302970 0.35077 0.292130 0.28225 0.000045 0.14082
0.8150 1.2270 0.282468 0.40670 0.281117 0.28077 0.000017 0.15022
0.7642 1.3085 0.259283 0.45568 0.268084 0.28752 0.000008 0.16302
0.7194 1.3901 0.237843 0.51874 0.254858 0.28184 0.000003 0.17106
0.6795 1.4716 0.215737 0.56339 0.240284 0.27865 0.000002 0.17669
0.6438 1.5532 0.196019 0.61669 0.226436 0.27213 0.000000 0.18159
0.6117 1.6348 0.174151 0.62887 0.210942 0.27005 0.000001 0.18117
0.5826 1.7163 0.158137 0.64673 0.197458 0.26389 0.000000 0.17914
0.5562 1.7979 0.138549 0.64404 0.181426 0.26001 0.000000 0.17582
0.5321 1.8794 0.124784 0.62535 0.168242 0.25363 0.000000 0.16847
0.5099 1.9610 0.110072 0.62062 0.154306 0.23706 0.000000 0.15953
0.4896 2.0426 0.097854 0.60065 0.141891 0.22585 0.000000 0.14934
0.4708 2.1241 0.087656 0.56192 0.130889 0.21335 0.000000 0.13758
0.4534 2.2057 0.078489 0.52452 0.120291 0.19933 0.000000 0.12692
0.4372 2.2872 0.068847 0.46466 0.109120 0.18464 0.000000 0.11229
0.4222 2.3688 0.063989 0.50286 0.101912 0.17834 0.000000 0.11120
0.4081 2.4504 0.056693 0.43977 0.092829 0.16403 0.000000 0.09844
0.3950 2.5319 0.050989 0.40755 0.085121 0.15307 0.000000 0.08973
0.3826 2.6135 0.045388 0.36715 0.077342 0.13557 0.000000 0.07807
0.3711 2.6950 0.041901 0.36471 0.071984 0.12997 0.000000 0.07443
0.3602 2.7766 0.037756 0.34232 0.065827 0.11927 0.000000 0.06746
0.3499 2.8582 0.034165 0.33403 0.060175 0.11065 0.000000 0.06279
0.3402 2.9397 0.030698 0.30522 0.054922 0.10141 0.000000 0.05640
0.3310 3.0213 0.027976 0.28790 0.050532 0.09453 0.000000 0.05172
0.3223 3.1028 0.025508 0.27443 0.046430 0.08636 0.000000 0.04716
0.3140 3.1844 0.023959 0.29227 0.043386 0.08335 0.000000 0.04642
0.3062 3.2660 0.021378 0.25215 0.039567 0.07466 0.000000 0.04035
0.2987 3.3475 0.019698 0.24767 0.036580 0.07126 0.000000 0.03824
0.2916 3.4291 0.017810 0.23815 0.033341 0.06671 0.000000 0.03559
0.2848 3.5106 0.016371 0.21680 0.030748 0.05818 0.000000 0.03094
0.2784 3.5922 0.015100 0.21126 0.028555 0.05549 0.000000 0.02926
0.2722 3.6738 0.013611 0.20113 0.025868 0.05147 0.000000 0.02702
0.2663 3.7553 0.012571 0.19063 0.023991 0.04689 0.000000 0.02458
0.2606 3.8369 0.011512 0.18261 0.022058 0.04349 0.000000 0.02272
0.2552 3.9184 0.010510 0.16976 0.020210 0.03929 0.000000 0.02043
0.2500 4.0000 0.009671 0.15963 0.018636 0.03590 0.000000 0.01855
