# annealed L=8 N_site=192 N_tri=384 N_bond=576 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=1
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac
6.0000 0.1667 1.118029 0.09065 0.388840 0.32085 0.113191 0.07557 0.429675 0.170263
2.6629 0.3755 0.721269 0.14140 0.372396 0.30737 0.026901 0.07986 0.463357 0.159051
1.7112 0.5844 0.587518 0.13781 0.354314 0.30258 0.005539 0.08667 0.469925 0.147064
1.2606 0.7932 0.518429 0.17739 0.334511 0.28977 0.001032 0.10179 0.470192 0.135515
0.9979 1.0021 0.462172 0.27235 0.311852 0.28667 0.000203 0.12487 0.469648 0.123513
0.8258 1.2110 0.406198 0.39236 0.283942 0.28107 0.000035 0.14570 0.468867 0.111348
0.7043 1.4198 0.349089 0.56324 0.249794 0.27888 0.000004 0.17383 0.467761 0.099622
0.6140 1.6287 0.293344 0.66953 0.212010 0.27359 0.000001 0.18487 0.465430 0.090725
0.5442 1.8376 0.246378 0.65595 0.174318 0.25189 0.000000 0.17171 0.461298 0.086498
0.4887 2.0464 0.210294 0.58802 0.140667 0.22187 0.000000 0.14393 0.455671 0.087384
0.4434 2.2553 0.185277 0.52605 0.113465 0.18865 0.000000 0.11722 0.450649 0.086881
0.4058 2.4641 0.166129 0.46932 0.090987 0.16114 0.000000 0.09607 0.444140 0.092756
0.3741 2.6730 0.152922 0.42528 0.073400 0.13492 0.000000 0.07822 0.440488 0.093466
0.3470 2.8819 0.141471 0.37692 0.058803 0.10990 0.000000 0.06122 0.432816 0.103619
0.3235 3.0907 0.133254 0.33912 0.046963 0.08881 0.000000 0.04820 0.429668 0.106236
0.3031 3.2996 0.126445 0.32888 0.038154 0.07507 0.000000 0.04019 0.423509 0.115284
0.2850 3.5084 0.119909 0.30230 0.030644 0.05924 0.000000 0.03130 0.414459 0.133014
0.2690 3.7173 0.115290 0.28039 0.024643 0.04885 0.000000 0.02565 0.409337 0.142426
0.2547 3.9262 0.111259 0.26765 0.020257 0.03992 0.000000 0.02083 0.402816 0.155733
0.2418 4.1350 0.108644 0.25827 0.016098 0.03155 0.000000 0.01642 0.401263 0.156832
0.2302 4.3439 0.105527 0.24573 0.013249 0.02568 0.000000 0.01355 0.394854 0.171280
0.2196 4.5527 0.103067 0.22659 0.010784 0.02170 0.000000 0.01096 0.390205 0.181470
0.2100 4.7616 0.100993 0.22850 0.008859 0.01736 0.000000 0.00878 0.385969 0.191159
0.2012 4.9705 0.099075 0.21967 0.007034 0.01385 0.000000 0.00706 0.382054 0.199856
0.1931 5.1793 0.096861 0.19891 0.005649 0.01129 0.000000 0.00565 0.376010 0.215920
0.1856 5.3882 0.095550 0.19768 0.004794 0.00969 0.000000 0.00503 0.372501 0.224977
0.1787 5.5970 0.094252 0.18715 0.003704 0.00747 0.000000 0.00375 0.369548 0.232110
0.1722 5.8059 0.092962 0.16649 0.003012 0.00609 0.000000 0.00306 0.365775 0.242143
0.1663 6.0148 0.091938 0.15947 0.002390 0.00491 0.000000 0.00244 0.362945 0.249666
0.1607 6.2236 0.091177 0.16573 0.002024 0.00413 0.000000 0.00207 0.360640 0.255520
0.1555 6.4325 0.090435 0.15102 0.001603 0.00315 0.000000 0.00153 0.358527 0.261194
0.1506 6.6414 0.089429 0.13213 0.001287 0.00253 0.000000 0.00123 0.355138 0.270876
0.1460 6.8502 0.089448 0.17404 0.001036 0.00203 0.000000 0.00109 0.355716 0.268028
0.1417 7.0591 0.088463 0.13049 0.000850 0.00171 0.000000 0.00088 0.352152 0.278617
0.1376 7.2679 0.088143 0.13569 0.000723 0.00146 0.000000 0.00077 0.351123 0.281155
0.1337 7.4768 0.087298 0.10888 0.000547 0.00108 0.000000 0.00051 0.348098 0.290374
0.1301 7.6857 0.086915 0.10395 0.000450 0.00090 0.000000 0.00044 0.346759 0.294242
0.1267 7.8945 0.086491 0.09913 0.000357 0.00071 0.000000 0.00035 0.345252 0.298549
0.1234 8.1034 0.086201 0.09364 0.000336 0.00068 0.000000 0.00035 0.344132 0.301750
0.1203 8.3122 0.085949 0.09268 0.000221 0.00043 0.000000 0.00024 0.343352 0.303874
0.1174 8.5211 0.085683 0.08253 0.000197 0.00038 0.000000 0.00020 0.342338 0.306862
