# annealed L=12 N_site=432 N_tri=864 N_bond=1296 D2=1.0 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=3
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
1.0000 1.0000 0.575112 0.26419 0.312091 0.28691 0.000244 0.11763 0.439298 0.124992 0.003169 -0.04335
0.9375 1.0667 0.557440 0.30382 0.303457 0.28630 0.000152 0.12512 0.439089 0.121203 0.003231 -0.01068
0.8824 1.1333 0.538806 0.35667 0.294624 0.28557 0.000080 0.13748 0.438705 0.117811 0.003323 -0.01394
0.8333 1.2000 0.521400 0.40140 0.285580 0.27252 0.000047 0.14028 0.438225 0.114949 0.003589 -0.03578
0.7895 1.2667 0.502750 0.44372 0.275756 0.28274 0.000031 0.15144 0.437747 0.112199 0.003838 -0.03947
0.7500 1.3333 0.483961 0.51741 0.265383 0.28646 0.000017 0.16831 0.437429 0.109360 0.004528 -0.09114
0.7143 1.4000 0.464534 0.57652 0.254428 0.28095 0.000008 0.17303 0.436468 0.107620 0.005061 -0.11128
0.6818 1.4667 0.446159 0.61214 0.242928 0.27710 0.000006 0.17506 0.435421 0.105822 0.006404 -0.11623
0.6522 1.5333 0.425021 0.69969 0.230385 0.27210 0.000003 0.18158 0.433553 0.106553 0.010545 -0.20310
0.6250 1.6000 0.407546 0.75072 0.218353 0.27640 0.000001 0.19039 0.432178 0.106444 0.012916 -0.11057
0.6000 1.6667 0.385368 0.81892 0.205451 0.26981 0.000001 0.19229 0.428255 0.111908 0.028291 0.03689
0.5769 1.7333 0.368075 0.90660 0.192613 0.27143 0.000000 0.20132 0.425861 0.114247 0.038067 0.04516
0.5556 1.8000 0.346476 0.83438 0.179084 0.26025 0.000000 0.18665 0.419606 0.125450 0.073732 0.31055
0.5357 1.8667 0.335072 0.83168 0.168582 0.25407 0.000000 0.17851 0.418856 0.125059 0.069814 0.21428
0.5172 1.9333 0.315344 0.70603 0.155665 0.23795 0.000001 0.15749 0.410884 0.141085 0.126727 0.39937
0.5000 2.0000 0.302334 0.69330 0.145300 0.22653 0.000000 0.14741 0.405199 0.152283 0.167517 0.42498
0.4839 2.0667 0.291556 0.71683 0.135687 0.22311 0.000000 0.14480 0.401401 0.159679 0.193716 0.42842
0.4688 2.1333 0.281573 0.59073 0.126736 0.20564 0.000000 0.12484 0.397958 0.166917 0.220279 0.44803
0.4545 2.2000 0.273364 0.59458 0.118842 0.19684 0.000000 0.12076 0.394553 0.173945 0.248069 0.45953
0.4412 2.2667 0.265273 0.59984 0.110129 0.18476 0.000000 0.11310 0.392017 0.178988 0.266554 0.45341
0.4286 2.3333 0.256917 0.54958 0.103598 0.17956 0.000000 0.10718 0.386183 0.192575 0.316826 0.47004
0.4167 2.4000 0.250976 0.53516 0.096424 0.16915 0.000000 0.09929 0.384606 0.195877 0.331221 0.47105
0.4054 2.4667 0.245280 0.52367 0.090594 0.15341 0.000000 0.09030 0.381642 0.202830 0.358036 0.47196
0.3947 2.5333 0.239348 0.52819 0.084113 0.14924 0.000000 0.08742 0.378889 0.209174 0.385645 0.47419
0.3846 2.6000 0.234148 0.49803 0.078619 0.13947 0.000000 0.08036 0.376318 0.215419 0.410719 0.47705
0.3750 2.6667 0.228784 0.48435 0.072957 0.13305 0.000000 0.07602 0.373178 0.223341 0.444269 0.47999
0.3659 2.7333 0.224724 0.46839 0.068001 0.12374 0.000000 0.07041 0.371471 0.227517 0.462425 0.48168
0.3571 2.8000 0.220960 0.44021 0.063717 0.11771 0.000000 0.06466 0.369565 0.232374 0.483411 0.48296
0.3488 2.8667 0.217505 0.46865 0.059486 0.11178 0.000000 0.06256 0.368050 0.236064 0.500287 0.48073
0.3409 2.9333 0.214550 0.44049 0.056261 0.10557 0.000000 0.05860 0.366124 0.241433 0.523484 0.48483
0.3333 3.0000 0.210823 0.43395 0.051736 0.09792 0.000000 0.05486 0.364173 0.246248 0.545498 0.48527
0.3261 3.0667 0.207285 0.39127 0.048356 0.09076 0.000000 0.04858 0.361288 0.254064 0.581277 0.48760
0.3191 3.1333 0.204848 0.39767 0.045320 0.08844 0.000000 0.04811 0.360036 0.257301 0.596479 0.48839
0.3125 3.2000 0.202302 0.39835 0.042137 0.08248 0.000000 0.04463 0.358789 0.260589 0.612274 0.48759
0.3061 3.2667 0.199790 0.36912 0.039516 0.07450 0.000000 0.04046 0.356817 0.266075 0.638565 0.48971
0.3000 3.3333 0.197804 0.36307 0.036782 0.07098 0.000000 0.03798 0.356020 0.267991 0.647831 0.48983
