# annealed L=16 N_site=768 N_tri=1536 N_bond=2304 D2=0.5 D3=10.0 mu=0.0 n_eq=3000 n_meas=20000 seed=3
# T  beta  E/Ntri  C/Ntri  n_mon(frac)  chi_mon  n3/Nsite  cov(E,nmon)/Ntri  n2/Nsite  hub_frac  <|psi|^2>  U4=1-<|psi|^4>/(2<|psi|^2>^2)
0.6000 1.6667 0.287153 0.66110 0.206135 0.27044 0.000000 0.18400 0.465474 0.088418 0.003074 -0.12000
0.5060 1.9762 0.223766 0.64100 0.152613 0.23407 0.000000 0.15551 0.459460 0.082858 0.008749 0.09237
0.4375 2.2857 0.183448 0.54990 0.110242 0.19199 0.000000 0.12006 0.451956 0.083255 0.018794 0.13790
0.3853 2.5952 0.157146 0.42664 0.079015 0.14300 0.000000 0.08248 0.442117 0.092241 0.046327 0.37809
0.3443 2.9048 0.140370 0.39388 0.057467 0.10744 0.000000 0.06091 0.432053 0.105112 0.079228 0.39727
0.3111 3.2143 0.128752 0.33897 0.041388 0.08043 0.000000 0.04381 0.424901 0.113596 0.098088 0.42194
0.2838 3.5238 0.120155 0.30233 0.030168 0.05933 0.000000 0.03136 0.416480 0.127757 0.136321 0.45030
0.2609 3.8333 0.113355 0.27289 0.021879 0.04309 0.000000 0.02250 0.407648 0.144608 0.182685 0.46546
0.2414 4.1429 0.108315 0.25482 0.016050 0.03171 0.000000 0.01643 0.400121 0.159966 0.226871 0.47167
0.2246 4.4524 0.104204 0.24276 0.011840 0.02370 0.000000 0.01218 0.392530 0.176183 0.277743 0.47543
0.2100 4.7619 0.100778 0.22508 0.008717 0.01758 0.000000 0.00894 0.385374 0.193146 0.335845 0.48103
0.1972 5.0714 0.098042 0.20715 0.006363 0.01259 0.000000 0.00634 0.379276 0.207569 0.386981 0.48332
0.1858 5.3810 0.095522 0.19778 0.004582 0.00919 0.000000 0.00466 0.372840 0.223743 0.452290 0.48724
0.1757 5.6905 0.093542 0.17995 0.003383 0.00701 0.000000 0.00356 0.367355 0.238158 0.512038 0.49042
0.1667 6.0000 0.092129 0.16837 0.002467 0.00476 0.000000 0.00249 0.363556 0.247919 0.554922 0.49181
0.1585 6.3095 0.090797 0.16183 0.001833 0.00371 0.000000 0.00188 0.359509 0.258622 0.603707 0.49263
0.1511 6.6190 0.089675 0.14553 0.001316 0.00262 0.000000 0.00130 0.356061 0.267986 0.648013 0.49402
0.1443 6.9286 0.088896 0.13200 0.000967 0.00195 0.000000 0.00097 0.353648 0.274324 0.678841 0.49505
0.1382 7.2381 0.087772 0.11803 0.000714 0.00144 0.000000 0.00072 0.349659 0.285985 0.737418 0.49621
0.1325 7.5476 0.087213 0.11062 0.000513 0.00103 0.000000 0.00048 0.347825 0.291122 0.764028 0.49662
0.1273 7.8571 0.086743 0.11591 0.000377 0.00075 0.000000 0.00037 0.346219 0.295333 0.786367 0.49649
0.1224 8.1667 0.086237 0.09528 0.000284 0.00056 0.000000 0.00027 0.344382 0.300801 0.815326 0.49753
0.1180 8.4762 0.085725 0.08247 0.000203 0.00040 0.000000 0.00020 0.342492 0.306359 0.845519 0.49806
0.1138 8.7857 0.085374 0.07863 0.000141 0.00029 0.000000 0.00015 0.341216 0.310056 0.865963 0.49828
0.1099 9.0952 0.085078 0.07136 0.000102 0.00021 0.000000 0.00011 0.340107 0.313327 0.884202 0.49856
0.1063 9.4048 0.084836 0.06362 0.000078 0.00016 0.000000 0.00008 0.339188 0.316005 0.899280 0.49879
0.1029 9.7143 0.084605 0.06038 0.000064 0.00013 0.000000 0.00006 0.338291 0.318639 0.914270 0.49893
0.0998 10.0238 0.084402 0.05229 0.000037 0.00007 0.000000 0.00004 0.337534 0.320845 0.926878 0.49912
0.0968 10.3333 0.084339 0.05548 0.000039 0.00008 0.000000 0.00004 0.337279 0.321504 0.930700 0.49910
0.0940 10.6429 0.084131 0.04531 0.000026 0.00005 0.000000 0.00003 0.336471 0.323990 0.945044 0.49934
0.0913 10.9524 0.084020 0.04156 0.000016 0.00003 0.000000 0.00001 0.336049 0.325242 0.952319 0.49942
0.0888 11.2619 0.083932 0.03769 0.000010 0.00002 0.000000 0.00001 0.335707 0.326252 0.958203 0.49950
0.0864 11.5714 0.083826 0.03340 0.000011 0.00002 0.000000 0.00001 0.335282 0.327512 0.965581 0.49959
0.0842 11.8810 0.083774 0.03164 0.000008 0.00002 0.000000 0.00001 0.335081 0.328114 0.969111 0.49963
0.0820 12.1905 0.083704 0.02743 0.000005 0.00001 0.000000 0.00001 0.334805 0.328936 0.973942 0.49969
0.0800 12.5000 0.083667 0.02523 0.000004 0.00001 0.000000 0.00000 0.334660 0.329364 0.976459 0.49973
